0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/loginpage.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/css/ss.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/css/datatables.min.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/images/lexus.png HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/resources/images/audi_blue_beautiful_cars_79694_1920x1080.jpg HTTP/1.1" 200 655083
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/loginpage.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/css/datatables.css HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/css/ss.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/css/datatables.min.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:38 +0530] "GET /Ecommerce_frontend/user/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:38 +0530] "GET /Ecommerce_frontend/user/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:44 +0530] "POST /Ecommerce_frontend/user/productdetails HTTP/1.1" 200 6898
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:44 +0530] "GET /Ecommerce_frontend/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:44 +0530] "GET /Ecommerce_frontend/user/resources/css/ss.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:44 +0530] "GET /Ecommerce_frontend/user/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:44 +0530] "GET /Ecommerce_frontend/user/resources/css/datatables.min.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:44 +0530] "GET /Ecommerce_frontend/user/resources/css/datatables.css HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:44 +0530] "GET /Ecommerce_frontend/user/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1124
